In,Age,Nat.,Position,Pos,Market value,Left,Left Club Country,Fee,Club name,Year of transfer
Johan Mojica,25,Colombia,Left-Back,LB,€5.00m,Rayo Vallecano,Spain,€5.00m,Girona FC,2018
Jairo Izquierdo,24,Spain,Left-Back,LB,€800k,Extremadura UD,Spain,€200k,Girona FC,2018
Seydou Doumbia,30,Cote d'Ivoire,Centre-Forward,CF,-,Sporting CP,Portugal,free transfer,Girona FC,2018
Raúl Carnero,29,Spain,Left-Back,LB,€200k,CD Leganés,Spain,free transfer,Girona FC,2018
Pedro Porro,18,Spain,Right-Back,RB,€35.00m,CF Peralada,Spain,-,Girona FC,2018
Valery Fernández,19,Spain,Right Winger,RW,€1.50m,CF Peralada,Spain,-,Girona FC,2018
Nikola Vukcevic,26,Montenegro,Defensive Midfield,DM,€850k,SC Braga,Portugal,€8.90m,Levante UD,2018
Raphael Dwamena,22,Ghana,Centre-Forward,CF,€400k,FC Zürich,Switzerland,€6.20m,Levante UD,2018
Moses Simon,23,Nigeria,Left Winger,LW,€9.00m,KAA Gent,Belgium,€3.50m,Levante UD,2018
Erick Cabaco,23,Uruguay,Centre-Back,CB,€1.00m,Club Nacional,Uruguay,€2.00m,Levante UD,2018
Coke,31,Spain,Right-Back,RB,€500k,FC Schalke 04,Germany,€1.50m,Levante UD,2018
Rubén Rochina,27,Spain,Right Winger,RW,€1.50m,Rubin Kazan,Russia,€1.40m,Levante UD,2018
Aitor Fernández,27,Spain,Goalkeeper,GK,€3.00m,CD Numancia,Spain,€1.20m,Levante UD,2018
Sanjin Prcic,24,Bosnia-Herzegovina,Central Midfield,CM,€3.50m,Stade Rennais FC,France,free transfer,Levante UD,2018
Fran Beltrán,19,Spain,Central Midfield,CM,€15.00m,Rayo Vallecano,Spain,€8.00m,Celta de Vigo,2018
Néstor Araújo,26,Mexico,Centre-Back,CB,€2.50m,Santos Laguna,Mexico,€7.00m,Celta de Vigo,2018
Okay Yokuslu,24,Turkey,Defensive Midfield,DM,€3.00m,Trabzonspor,Turkey,€6.00m,Celta de Vigo,2018
Mathias Jensen,22,Denmark,Central Midfield,CM,€14.00m,FC Nordsjaelland,Denmark,€5.00m,Celta de Vigo,2018
Gabriel Fernández,24,Uruguay,Centre-Forward,CF,€2.00m,CA Peñarol,Uruguay,€3.50m,Celta de Vigo,2018
