In,Age,Nat.,Position,Pos,Market value,Left,Left Club Country,Fee,Club name,Year of transfer
José Gragera,22,Spain,Central Midfield,CM,€3.00m,Sporting Gijón,Spain,€2.80m,RCD Espanyol Barcelona,2022
Tonny Vilhena,27,Netherlands,Central Midfield,CM,€3.40m,FK Krasnodar,Russia,€2.50m,RCD Espanyol Barcelona,2022
Fernando Pacheco,30,Spain,Goalkeeper,GK,€3.00m,UD Almería,Spain,€2.20m,RCD Espanyol Barcelona,2022
Martin Braithwaite,31,Denmark,Centre-Forward,CF,€6.00m,FC Barcelona,Spain,free transfer,RCD Espanyol Barcelona,2022
José Carlos Lazo,26,Spain,Left Winger,LW,€2.50m,UD Almería,Spain,free transfer,RCD Espanyol Barcelona,2022
Joselu,32,Spain,Centre-Forward,CF,€6.00m,Deportivo Alavés,Spain,free transfer,RCD Espanyol Barcelona,2022
Brian Oliván,28,Spain,Left-Back,LB,€6.00m,RCD Mallorca,Spain,free transfer,RCD Espanyol Barcelona,2022
Jofre Carreras,21,Spain,Right Winger,RW,€100k,RCD Espanyol B,Spain,-,RCD Espanyol Barcelona,2022
Simo Keddari,17,Spain,Centre-Back,CB,€500k,RCD Espanyol B,Spain,-,RCD Espanyol Barcelona,2022
Rubén Sánchez,21,Spain,Right-Back,RB,€500k,RCD Espanyol B,Spain,-,RCD Espanyol Barcelona,2022
Raúl de Tomás,27,Spain,Centre-Forward,CF,€8.00m,RCD Espanyol Barcelona,Spain,€8.00m,Rayo Vallecano,2022
Pep Chavarría,24,Spain,Left-Back,LB,€1.00m,Real Zaragoza,Spain,€1.80m,Rayo Vallecano,2022
Abdul Mumin,24,Ghana,Centre-Back,CB,€1.50m,Vitória Guimarães SC,Portugal,€1.50m,Rayo Vallecano,2022
Unai López,26,Spain,Central Midfield,CM,€4.00m,Athletic Bilbao,Spain,free transfer,Rayo Vallecano,2022
Diego López,40,Spain,Goalkeeper,GK,€500k,RCD Espanyol Barcelona,Spain,free transfer,Rayo Vallecano,2022
Salvi Sánchez,31,Spain,Right Winger,RW,€1.80m,Cádiz CF,Spain,free transfer,Rayo Vallecano,2022
Borja Mayoral,25,Spain,Centre-Forward,CF,€9.00m,Real Madrid,Spain,€10.00m,Getafe CF,2022
Luis Milla,27,Spain,Central Midfield,CM,€5.00m,Granada CF,Spain,€5.00m,Getafe CF,2022
Domingos Duarte,27,Portugal,Centre-Back,CB,€8.00m,Granada CF,Spain,€750k,Getafe CF,2022
Fabrizio Angileri,28,Argentina,Left-Back,LB,€3.00m,CA River Plate,Argentina,free transfer,Getafe CF,2022
Jaime Seoane,25,Spain,Central Midfield,CM,€3.50m,SD Huesca,Spain,free transfer,Getafe CF,2022
Kiko Casilla,35,Spain,Goalkeeper,GK,€400k,Leeds United,England,free transfer,Getafe CF,2022
Munir El Haddadi,26,Morocco,Centre-Forward,CF,€4.00m,Sevilla FC,Spain,free transfer,Getafe CF,2022
Sabit Abdulai,23,Ghana,Defensive Midfield,DM,€200k,Getafe CF B,Spain,-,Getafe CF,2022
Ángel Algobia,23,Spain,Defensive Midfield,DM,€1.50m,Getafe CF B,Spain,-,Getafe CF,2022
Vedat Muriqi,28,Kosovo,Centre-Forward,CF,€15.00m,SS Lazio,Italy,€8.02m,RCD Mallorca,2022
Pablo Maffeo,24,Spain,Right-Back,RB,€8.00m,VfB Stuttgart,Germany,€3.00m,RCD Mallorca,2022
Predrag Rajkovic,26,Serbia,Goalkeeper,GK,€10.00m,Stade Reims,France,€2.00m,RCD Mallorca,2022
José Copete,22,Spain,Centre-Back,CB,€3.00m,SD Ponferradina,Spain,free transfer,RCD Mallorca,2022
Rodrigo Battaglia,31,Argentina,Defensive Midfield,DM,€1.50m,Sporting CP,Portugal,free transfer,RCD Mallorca,2022
Matija Nastasic,29,Serbia,Centre-Back,CB,€1.50m,ACF Fiorentina,Italy,free transfer,RCD Mallorca,2022
Leo Román,21,Spain,Goalkeeper,GK,€300k,RCD Mallorca B,Spain,-,RCD Mallorca,2022
Javi Llabrés,19,Spain,Left Winger,LW,€300k,RCD Mallorca B,Spain,-,RCD Mallorca,2022
Théo Bongonda,26,DR Congo,Right Winger,RW,€4.00m,KRC Genk,Belgium,€3.00m,Cádiz CF,2022
Brian Ocampo,23,Uruguay,Left Winger,LW,€2.00m,Club Nacional,Uruguay,€1.90m,Cádiz CF,2022
Chris Ramos,26,Spain,Centre-Forward,CF,€1.50m,CD Lugo,Spain,€1.50m,Cádiz CF,2022
Youba Diarra,24,Mali,Central Midfield,CM,€1.00m,Red Bull Salzburg,Austria,€1.10m,Cádiz CF,2022
Víctor Chust,22,Spain,Centre-Back,CB,€3.00m,Real Madrid,Spain,€1.00m,Cádiz CF,2022
Rubén Alcaraz,31,Spain,Central Midfield,CM,€2.00m,Real Valladolid CF,Spain,€1.00m,Cádiz CF,2022
Joseba Zaldua,30,Spain,Right-Back,RB,€2.50m,Real Sociedad,Spain,free transfer,Cádiz CF,2022
Fede San Emeterio,25,Spain,Central Midfield,CM,€2.00m,Real Valladolid CF,Spain,free transfer,Cádiz CF,2022
Awer Mabil,26,Australia,Left Winger,LW,€1.50m,FC Midtjylland,Denmark,free transfer,Cádiz CF,2022
Momo Mbaye,24,Senegal,Centre-Back,CB,€700k,Cádiz CF Mirandilla,Spain,-,Cádiz CF,2022
Juan Flere,24,Argentina,Goalkeeper,GK,€100k,Cádiz CF Mirandilla,Spain,-,Cádiz CF,2022
Raúl Parra,22,Spain,Right-Back,RB,€300k,Cádiz CF Mirandilla,Spain,-,Cádiz CF,2022
Ivan Chapela,23,Spain,Right Winger,RW,€600k,Cádiz CF Mirandilla,Spain,-,Cádiz CF,2022
El Bilal Touré,20,Mali,Centre-Forward,CF,€10.00m,Stade Reims,France,€8.00m,UD Almería,2022
Lázaro,20,Brazil,Left Winger,LW,€5.00m,CR Flamengo,Brazil,€7.00m,UD Almería,2022
Kaiky,18,Brazil,Centre-Back,CB,€5.00m,Santos FC,Brazil,€7.00m,UD Almería,2022
Marko Milovanovic,18,Serbia,Centre-Forward,CF,€1.20m,FK Partizan Belgrade,Serbia,€3.50m,UD Almería,2022
Alejandro Pozo,23,Spain,Right-Back,RB,€3.00m,Sevilla FC,Spain,€3.00m,UD Almería,2022
Gui Guedes,20,Portugal,Central Midfield,CM,€1.50m,Vitória Guimarães SC,Portugal,€3.00m,UD Almería,2022
Gonzalo Melero,28,Spain,Central Midfield,CM,€4.00m,Levante UD,Spain,€1.90m,UD Almería,2022
Léo Baptistão,29,Brazil,Second Striker,SS,€1.80m,Santos FC,Brazil,€1.50m,UD Almería,2022
Srdjan Babic,26,Serbia,Centre-Back,CB,€3.50m,Red Star Belgrade,Serbia,€1.10m,UD Almería,2022
Adrián Embarba,30,Spain,Right Winger,RW,€3.00m,RCD Espanyol Barcelona,Spain,€1.00m,UD Almería,2022
Diego Mariño,32,Spain,Goalkeeper,GK,€300k,Sporting Gijón,Spain,€80k,UD Almería,2022
Fernando Pacheco,30,Spain,Goalkeeper,GK,€3.00m,Deportivo Alavés,Spain,free transfer,UD Almería,2022
Houboulang Mendes,24,Guinea-Bissau,Right-Back,RB,€2.50m,FC Lorient,France,free transfer,UD Almería,2022
Arnau Solà,19,Spain,Left-Back,LB,€250k,FC Barcelona U19,Spain,free transfer,UD Almería,2022
Diego Fuoli,24,Spain,Goalkeeper,GK,€200k,UD Almería B,Spain,-,UD Almería,2022
Gonzalo Plata,21,Ecuador,Right Winger,RW,€5.00m,Sporting CP,Portugal,€3.00m,Real Valladolid CF,2022
Monchu,22,Spain,Central Midfield,CM,€5.00m,Granada CF,Spain,€1.20m,Real Valladolid CF,2022
Selim Amallah,26,Morocco,Attacking Midfield,AM,€4.00m,Standard Liège,Belgium,€1.00m,Real Valladolid CF,2022
Mickaël Malsa,26,Martinique,Defensive Midfield,DM,€1.50m,Levante UD,Spain,€500k,Real Valladolid CF,2022
Kenedy,26,Brazil,Left Winger,LW,€3.00m,Chelsea FC,England,€500k,Real Valladolid CF,2022
Iván Sánchez,29,Spain,Right Winger,RW,€800k,Birmingham City,England,€100k,Real Valladolid CF,2022
Darwin Machís,29,Venezuela,Left Winger,LW,€4.00m,FC Juárez,Mexico,free transfer,Real Valladolid CF,2022
Zouhair Feddal,32,Morocco,Centre-Back,CB,€1.50m,Sporting CP,Portugal,free transfer,Real Valladolid CF,2022
Sergio Escudero,32,Spain,Left-Back,LB,€1.80m,Granada CF,Spain,free transfer,Real Valladolid CF,2022
Sergio Asenjo,33,Spain,Goalkeeper,GK,€1.50m,Villarreal CF,Spain,free transfer,Real Valladolid CF,2022
Juanjo Narváez,27,Colombia,Centre-Forward,CF,€1.20m,Real Zaragoza,Spain,?,Real Valladolid CF,2022
Lucas Rosa,22,Brazil,Right-Back,RB,€1.00m,Real Valladolid Promesas,Spain,-,Real Valladolid CF,2022
Iván Fresneda,17,Spain,Right-Back,RB,€10.00m,Real Valladolid Promesas,Spain,-,Real Valladolid CF,2022
Paulo Vitor,23,Brazil,Left Winger,LW,€300k,Real Valladolid Promesas,Spain,-,Real Valladolid CF,2022
Oriol Romeu,30,Spain,Defensive Midfield,DM,€5.00m,Southampton FC,England,€5.50m,Girona FC,2022
Viktor Tsygankov,25,Ukraine,Right Winger,RW,€22.00m,Dynamo Kyiv,Ukraine,€5.00m,Girona FC,2022
Miguel Gutiérrez,21,Spain,Left-Back,LB,€9.00m,Real Madrid,Spain,€4.00m,Girona FC,2022
Alexander Callens,30,Peru,Centre-Back,CB,€2.00m,New York City FC,United States,free transfer,Girona FC,2022
Toni Villa,27,Spain,Left Winger,LW,€2.50m,Real Valladolid CF,Spain,free transfer,Girona FC,2022
Manu Vallejo,25,Spain,Left Winger,LW,€2.40m,Valencia CF,Spain,free transfer,Girona FC,2022
Toni Fuidias,21,Spain,Goalkeeper,GK,€300k,Real Madrid Castilla,Spain,free transfer,Girona FC,2022
David López,32,Spain,Centre-Back,CB,€2.00m,RCD Espanyol Barcelona,Spain,free transfer,Girona FC,2022
Gabri Martínez,19,Spain,Right Winger,RW,€200k,Girona FC B,Spain,-,Girona FC,2022
Álex Sala,21,Spain,Central Midfield,CM,€200k,Girona FC B,Spain,-,Girona FC,2022
Óscar Ureña,19,Spain,Right Winger,RW,€400k,Girona FC B,Spain,-,Girona FC,2022
Lucas García,19,Spain,Goalkeeper,GK,-,Girona FC U19,Spain,-,Girona FC,2022
